devcod,Acordo,acoparnum,acopardatven,acoparvalsal,atraso
14311388,1044417,1,2026-03-20,546.26,5
14300972,1044431,1,2026-03-20,1174.93,5
14307263,1044451,1,2026-03-20,286.39,5
14311695,1044437,1,2026-03-20,586.24,5
14287228,1044402,1,2026-03-20,150.0,5
14316776,1044483,1,2026-03-20,519.92,5
14311976,1044461,1,2026-03-20,1388.71,5
14256173,1044642,1,2026-03-20,58.0,5
14302253,1044512,1,2026-03-20,71.23,5
14313660,1044541,1,2026-03-20,137.77,5
14292609,1044548,1,2026-03-20,971.6,5
14316943,1044565,1,2026-03-20,377.43,5
14314809,1044572,1,2026-03-20,377.5,5
14112712,1043069,1,2026-03-20,188.5,5
14112712,1043068,1,2026-03-20,277.5,5
14260851,1044544,1,2026-03-20,262.08,5
14316966,1044574,1,2026-03-20,218.51,5
14075774,1044578,1,2026-03-20,110.0,5
14006936,1044640,1,2026-03-20,614.18,5
13912788,1044639,1,2026-03-20,180.0,5
14261447,1043662,1,2026-03-20,150.0,5
14019332,1044505,1,2026-03-20,2202.68,5
14139401,1044526,1,2026-03-20,200.0,5
14260851,1044545,1,2026-03-20,202.08,5
14307013,1044579,1,2026-03-20,175.33,5
14291162,1044615,1,2026-03-20,499.36,5
14316906,1044663,1,2026-03-20,465.79,5
14094801,1044682,1,2026-03-20,120.0,5
13712169,1043165,1,2026-03-20,190.0,5
14300423,1044685,1,2026-03-20,399.17,5
14313830,1043194,1,2026-03-20,512.2,5
10327248,1043117,1,2026-03-20,500.0,5
14306680,1043210,1,2026-03-20,538.55,5
14008480,1043230,1,2026-03-20,140.0,5
14024832,1043276,1,2026-03-20,300.0,5
14104414,1043264,1,2026-03-20,300.0,5
14253981,1043289,1,2026-03-20,260.0,5
14313231,1043417,1,2026-03-20,1313.9,5
14308158,1043344,1,2026-03-20,200.0,5
14295648,1043292,1,2026-03-20,535.32,5
14259251,1043388,1,2026-03-20,58.0,5
14249171,1043339,1,2026-03-20,237.7,5
14107638,1043359,1,2026-03-20,230.0,5
14289986,1043435,1,2026-03-20,500.0,5
14289986,1043440,1,2026-03-20,350.0,5
14284700,1043483,1,2026-03-20,170.0,5
14115450,1043564,1,2026-03-20,321.11,5
14306068,1043497,1,2026-03-20,982.0,5
14303555,1043541,1,2026-03-20,252.0,5
14024561,1043505,1,2026-03-20,450.0,5
14308327,1043489,1,2026-03-20,1975.59,5
14254574,1043515,1,2026-03-20,455.23,5
14304179,1043553,1,2026-03-20,350.0,5
14304571,1043588,1,2026-03-20,1113.51,5
14242323,1043725,1,2026-03-20,120.3,5
14314549,1043596,1,2026-03-20,843.75,5
14095897,1043599,1,2026-03-20,300.0,5
14304179,1043620,1,2026-03-20,330.0,5
14302543,1043672,1,2026-03-20,550.0,5
13911281,1043689,1,2026-03-20,130.39,5
14314628,1043721,1,2026-03-20,263.41,5
14250564,1043659,1,2026-03-20,190.0,5
14056095,1043692,1,2026-03-20,150.0,5
14288229,1043722,1,2026-03-20,320.0,5
14257453,1043740,1,2026-03-20,621.35,5
14300932,1043744,1,2026-03-20,384.49,5
14314854,1043771,1,2026-03-20,170.0,5
14059143,1043757,1,2026-03-20,257.64,5
14288813,1043829,1,2026-03-20,1362.53,5
14097419,1043250,1,2026-03-20,179.35,5
14304243,1043823,1,2026-03-20,231.75,5
14306512,1043796,1,2026-03-20,300.0,5
14306005,1043819,1,2026-03-20,280.0,5
14114016,1043747,1,2026-03-20,172.44,5
14026012,1043792,1,2026-03-20,201.93,5
14314335,1043837,1,2026-03-20,444.43,5
14264293,1043871,1,2026-03-20,150.0,5
14133809,1043847,1,2026-03-20,715.37,5
14315006,1043861,1,2026-03-20,250.0,5
14314945,1043887,1,2026-03-20,499.35,5
14309147,1043881,1,2026-03-20,408.6,5
14314132,1043899,1,2026-03-20,209.39,5
13972154,1043912,1,2026-03-20,390.0,5
14307540,1043857,1,2026-03-20,748.6,5
14056399,1043923,1,2026-03-20,237.0,5
14269027,1043944,1,2026-03-20,313.13,5
14252373,1043226,1,2026-03-20,340.0,5
13844083,1043347,1,2026-03-20,200.0,5
14252887,1043010,1,2026-03-20,350.0,5
14290936,1044019,1,2026-03-20,300.0,5
14094921,1043987,1,2026-03-20,1378.48,5
14094921,1043988,1,2026-03-20,850.11,5
14257693,1044002,1,2026-03-20,375.0,5
14290389,1044013,1,2026-03-20,350.0,5
13849629,1043700,1,2026-03-20,280.0,5
13959480,1043954,1,2026-03-20,200.0,5
14306817,1043967,1,2026-03-20,560.22,5
14298614,1044015,1,2026-03-20,337.0,5
14289150,1044038,1,2026-03-20,815.08,5
14315216,1044022,1,2026-03-20,200.0,5
14262138,1044035,1,2026-03-20,140.0,5
14262138,1044034,1,2026-03-20,230.0,5
14243103,1044012,1,2026-03-20,350.0,5
14110862,1043346,1,2026-03-20,450.0,5
14309272,1044245,1,2026-03-20,250.0,5
13886760,1044072,1,2026-03-20,200.0,5
14315549,1044091,1,2026-03-20,864.03,5
14290060,1044101,1,2026-03-20,298.42,5
14097351,1044244,1,2026-03-20,200.0,5
14133296,1044111,1,2026-03-20,375.0,5
14244288,1044114,1,2026-03-20,209.85,5
14304726,1044167,1,2026-03-20,1618.23,5
14247904,1044169,1,2026-03-20,362.28,5
14298880,1044208,1,2026-03-20,680.0,5
13679377,1044227,1,2026-03-20,115.0,5
14291546,1044226,1,2026-03-20,267.06,5
14315427,1044234,1,2026-03-20,677.67,5
14301872,1044121,1,2026-03-20,264.07,5
14315035,1044127,1,2026-03-20,750.0,5
14262550,1044176,1,2026-03-20,500.0,5
14315055,1044177,1,2026-03-20,844.31,5
14248451,1044151,1,2026-03-20,364.12,5
9752092,1044141,1,2026-03-20,380.0,5
14315490,1044326,1,2026-03-20,438.53,5
14316507,1044275,1,2026-03-20,329.38,5
14316591,1044279,1,2026-03-20,380.0,5
14315579,1044214,1,2026-03-20,482.71,5
14304051,1044268,1,2026-03-20,1363.03,5
14106155,1044318,1,2026-03-20,388.81,5
14107828,1044281,1,2026-03-20,491.16,5
14300390,1044286,1,2026-03-20,993.44,5
14140726,1044351,1,2026-03-20,513.41,5
13988216,1044325,1,2026-03-20,152.0,5
14300278,1044327,1,2026-03-20,676.87,5
14137788,1044339,1,2026-03-20,386.08,5
14140726,1044349,1,2026-03-20,554.05,5
13201091,1044331,1,2026-03-20,500.0,5